CAS Number;Chemical Name;Species Scientific Name;Species Common Name;Species Kingdom;Species Phylum;Species Sub Phylum;Species Superclass;Species Class;Species Order;Species Family;Species Genus;Species;Variety;Species Group;Organism Lifestage;Organism Age Mean Op;Organism Age Mean;Organism Age Min Op;Organism Age Min;Organism Age Max Op;Organism Age Max;Age Units;Exposure Type;Conc 1 Type (Standardized);Conc 1 Mean Op (Standardized);Conc 1 Mean (Standardized);Conc 1 Min Op (Standardized);Conc Min 1 (Standardized);Conc 1 Max Op (Standardized);Conc 1 Max (Standardized);Conc 1 Units (Standardized);Conc 2 Type (Standardized);Conc 2 Mean Op (Standardized);Conc 2 Mean (Standardized);Conc 2 Min Op (Standardized);Conc Min 2 (Standardized);Conc 2 Max Op (Standardized);Conc 2 Max (Standardized);Conc 2 Units (Standardized);Conc 3 Type (Standardized);Conc 3 Mean Op (Standardized);Conc 3 Mean (Standardized);Conc 3 Min Op (Standardized);Conc Min 3 (Standardized);Conc 3 Max Op (Standardized);Conc 3 Max (Standardized);Conc 3 Units (Standardized);Endpoint;Habitat;Publication Year
50000;Formaldehyde;Bosmina sp.;Water Flea;Animalia;Arthropoda;Crustacea;;Branchiopoda;Diplostraca;Bosminidae;Bosmina;sp.;;Crustaceans;;;;;;;;;;Formulation;;20;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1980
50000;Formaldehyde;Cyclops sp.;Cyclopoid Copepod;Animalia;Arthropoda;Crustacea;;Maxillopoda;Cyclopoida;Cyclopidae;Cyclops;sp.;;Crustaceans;;;;;;;;;;Formulation;;20;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1980
50000;Formaldehyde;Daphnia sp.;Water Flea;Animalia;Arthropoda;Crustacea;;Branchiopoda;Diplostraca;Daphniidae;Daphnia;sp.;;Crustaceans;;;;;;;;;;Formulation;;20;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1980
50000;Formaldehyde;Leuciscus idus;Ide, Silver Or Golden Orfe;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Leuciscus;idus;;Fish;;;;;;;;;Static;Active ingredient;;22;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1982
50000;Formaldehyde;Anguilla rostrata;American Eel;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Anguilliformes;Anguillidae;Anguilla;rostrata;;Fish;;;;;;;;;;Active ingredient;;329.65;;257.18;;402.93;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1980
50000;Formaldehyde;Danio rerio;Zebra Danio;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Danio;rerio;;"Fish; Standard Test Species";;;;;;;;;Static;Active ingredient;;41;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1982
50000;Formaldehyde;Pimephales promelas;Fathead Minnow;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Pimephales;promelas;;"Fish; Standard Test Species";;;;;;;;;Static;Formulation;;;>;38;<;48;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1982
50000;Formaldehyde;Oncorhynchus mykiss;Rainbow Trout;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;mykiss;;"Fish; Standard Test Species; U.S. Threatened and Endangered Species";Fry;;;;;;;;Static;Formulation;;149;;142;;157;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1981
50000;Formaldehyde;Oncorhynchus mykiss;Rainbow Trout;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;mykiss;;"Fish; Standard Test Species; U.S. Threatened and Endangered Species";Fry;;;;;;;;Static;Formulation;>;250;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1981
50000;Formaldehyde;Chironomus sp.;Midge;Animalia;Arthropoda;Hexapoda;;Insecta;Diptera;Chironomidae;Chironomus;sp.;;"Insects/Spiders; Standard Test Species";Larva;;;;;;;;;Formulation;;450;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1980
