CAS Number;Chemical_Name;Chemical Grade;Chemical Analysis;Chemical Purity Mean Op;Chemical Purity Mean(%);Chemical Purity Min Op;Chemical Purity Min(%);Chemical Purity Max Op;Chemical Purity Max(%);Species Scientific Name;Species Common Name;Species Group;Organism Lifestage;Organism Age Mean Op;Organism Age Mean;Organism Age Min Op;Organism Age Min;Organism Age Max Op;Organism Age Max;Age Units;Exposure Type;Media Type;Test Location;Number of Doses;Conc 1 Type (Standardized);Conc 1 Mean Op (Standardized);Conc_1_Mean_(Standardized);Conc 1 Min Op (Standardized);Conc Min 1 (Standardized);Conc 1 Max Op (Standardized);Conc 1 Max (Standardized);Conc 1 Units (Standardized);Conc 2 Type (Standardized);Conc 2 Mean Op (Standardized);Conc 2 Mean (Standardized);Conc 2 Min Op (Standardized);Conc Min 2 (Standardized);Conc 2 Max Op (Standardized);Conc 2 Max (Standardized);Conc 2 Units (Standardized);Conc 3 Type (Standardized);Conc 3 Mean Op (Standardized);Conc 3 Mean (Standardized);Conc 3 Min Op (Standardized);Conc Min 3 (Standardized);Conc 3 Max Op (Standardized);Conc 3 Max (Standardized);Conc 3 Units (Standardized);Effect;Effect Measurement;Endpoint;Response Site;Observed Duration Mean Op (Days);Observed Duration Mean (Days);Observed Duration Min Op (Days);Observed Duration Min (Days);Observed Duration Max Op (Days);Observed Duration Max (Days);Observed Duration Units (Days);BCF 1 Value Op;BCF 1 Value;BCF 1 Min Op;BCF 1 Min;BCF 1 Max Op;BCF 1 Max;BCF 1 Unit;BCF 2 Value Op;BCF 2 Value;BCF 2 Min Op;BCF 2 Min;BCF 2 Max Op;BCF 2 Max;BCF 2 Unit;BCF 3 Value Op;BCF 3 Value;BCF 3 Min Op;BCF 3 Min;BCF 3 Max Op;BCF 3 Max;BCF 3 Unit;Author;Reference Number;Title;Source;Publication Year
50000;Formaldehyde;;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Juvenile;;;;;;;;Static;Fresh water;Lab;;Formulation;;57;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Janssen,C.R., and G. Persoone;6516;Rapid Toxicity Screening Tests for Aquatic Biota. 1. Methodology and Experiments with Daphnia magna;Environ. Toxicol. Chem.12:711-717;1993
50000;Formaldehyde;;Unmeasured values (some measured values reported in article);;40.1;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";F0 generation;<=;24;;;;;Hour(s);Renewal;Culture;Lab;6;Active ingredient;;24;;19;;30.2;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;14;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Institut Fresenius;190191;[Redacted] Daphnia magna Reproduction Test of Formaldehyde According to Guideline OECD 211;IF-08/01232312, BASF SF, Ludwigshafen, Germany:48 p.;2008
50000;Formaldehyde;;Unmeasured values (some measured values reported in article);;40.1;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";F0 generation;<=;24;;;;;Hour(s);Renewal;Culture;Lab;6;Active ingredient;;24;;19;;30.2;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;7;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Institut Fresenius;190191;[Redacted] Daphnia magna Reproduction Test of Formaldehyde According to Guideline OECD 211;IF-08/01232312, BASF SF, Ludwigshafen, Germany:48 p.;2008
50000;Formaldehyde;;Unmeasured values (some measured values reported in article);;40.1;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";F0 generation;<=;24;;;;;Hour(s);Renewal;Culture;Lab;6;Active ingredient;;24;;19;;30.2;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;21;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Institut Fresenius;190191;[Redacted] Daphnia magna Reproduction Test of Formaldehyde According to Guideline OECD 211;IF-08/01232312, BASF SF, Ludwigshafen, Germany:48 p.;2008
50000;Formaldehyde;;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Juvenile;;;;;;;;Static;Fresh water;Lab;;Formulation;;29;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Janssen,C.R., and G. Persoone;6516;Rapid Toxicity Screening Tests for Aquatic Biota. 1. Methodology and Experiments with Daphnia magna;Environ. Toxicol. Chem.12:711-717;1993
50000;Formaldehyde;;Unmeasured;;37;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;;Active ingredient;;14;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Lagerspetz,K.Y.H., A. Tiiska, and K.E.O. Senius;8305;Low Sensitivity of Ciliary Activity in the Gills of Anodonta cygnea to Some Ecotoxicals;Comp. Biochem. Physiol. C Comp. Pharmacol.105(3): 393-395;1993
50000;Formaldehyde;;;;37;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Formulation;;14.6;;11.3;;18;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;U.S. Environmental Protection Agency;344;Pesticide Ecotoxicity Database (Formerly: Environmental Effects Database (EEDB));Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:;1992
50000;Formaldehyde;;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Aquatic - not reported;Fresh water;Lab;6;Formulation;;17.36;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Ton,S.S., S.H. Chang, L.Y. Hsu, M.H. Wang, and K.S. Wang;160941;Evaluation of Acute Toxicity and Teratogenic Effects of Disinfectants by Daphnia magna Embryo Assay;Environ. Pollut.168:54-61;2012
50000;Formaldehyde;;Unmeasured;;37;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;;Active ingredient;;5;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Lagerspetz,K.Y.H., A. Tiiska, and K.E.O. Senius;8305;Low Sensitivity of Ciliary Activity in the Gills of Anodonta cygnea to Some Ecotoxicals;Comp. Biochem. Physiol. C Comp. Pharmacol.105(3): 393-395;1993
50000;Formaldehyde;;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Aquatic - not reported;Fresh water;Lab;6;Formulation;;10.14;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Ton,S.S., S.H. Chang, L.Y. Hsu, M.H. Wang, and K.S. Wang;160941;Evaluation of Acute Toxicity and Teratogenic Effects of Disinfectants by Daphnia magna Embryo Assay;Environ. Pollut.168:54-61;2012
