Originaler SMILES-Code,Tokenisierte SMILES-Codes
C=O,"C, ,=,O"
ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,"C,l, ,C,1,=, ,C,C, ,=,C,(, ,C,=, ,C,1,), ,C,(, ,C,1,=, ,C,C, ,=,C,(, ,C,l,), ,C,=, ,C,1,), ,C,(,C,l,),(,C,l,), ,C,l"
OC(=O)C1=C(Cl)C=CC=C1Cl,"O,C,(,=,O,), ,C,1,=,C,(, ,C,l,), ,C,=, ,C,C, ,=,C,1, ,C,l"
OC1=C(C=C(Cl)C=C1)C(=O)NC1=CC=C(C=C1Cl)[N+]([O-])=O,"O, ,C,1,=,C,(, ,C,=,C,(, ,C,l,), ,C,=, ,C,1,), ,C,(,=,O,),N, ,C,1,=, ,C,C, ,=,C,(, ,C,=,C,1, ,C,l,), ,[,N,+,],(,[,O,-,],),=,O"
CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,"C,C,C,C, ,O,C,C, ,O,C,C,O, ,C,C,1,=, ,C,C,2, ,=,C,(, ,O,C,O,2,), ,C,=,C,1, ,C,C,C"
CCOP(=S)(OCC)OC1=CC(C)=C(SC)C(C)=C1,"C,C,O, ,P,(, ,=,S,), ,(, ,O,C,C,), ,O, ,C,1,=, ,C,C,(,C,), ,=,C,(, ,S,C,), ,C,(,C,), ,=,C,1"
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,"C,O, ,P,(,=,O,),(, ,O,C,), ,C,(,O,), ,C,(,C,l,),(,C,l,), ,C,l"
COP(=S)(OC)OC1=CC=C(C=C1)S(=O)(=O)N(C)C,"C,O, ,P,(, ,=,S,), ,(, ,O,C,), ,O, ,C,1,=, ,C,C, ,=,C,(, ,C,=, ,C,1,), ,S,(,=,O,),(,=,O,),N, ,(,C,),C"
[Na+].CC[Hg]SC1=C(C=CC=C1)C([O-])=O,"[,N,a,+,], ,., ,C,C, ,[,H,g,], ,S, ,C,1,=,C,(, ,C,=, ,C,C,=, ,C,1,), ,C,(, ,[,O,-,],), ,=,O"
COP(=S)(OC)OC1=CC(C)=C(SC)C(C)=C1,"C,O, ,P,(, ,=,S,), ,(, ,O,C,), ,O, ,C,1,=, ,C,C,(,C,), ,=,C,(, ,S,C,), ,C,(,C,), ,=,C,1"
COP(=S)(OC)OC1=CC(C)=C(SC)C=C1,"C,O, ,P,(, ,=,S,), ,(, ,O,C,), ,O, ,C,1,=, ,C,C,(,C,), ,=,C,(, ,S,C,), ,C,=,C,1"
CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,"C,C,C,C, ,[,S,n,], ,(, ,C,C,C,C,), ,(, ,C,C,C,C,), ,O, ,[,S,n,], ,(, ,C,C,C,C,), ,(, ,C,C,C,C,), ,C,C,C,C"
CCCC[Sn](CCCC)(CCCC)OC(C)=O,"C,C,C,C, ,[,S,n,], ,(, ,C,C,C,C,), ,(, ,C,C,C,C,), ,O, ,C,(,C,),=,O"
CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O,"C,C,O, ,P,(, ,=,S,), ,(, ,O,C,C,), ,O, ,C,1,=, ,C,C, ,=,C,(, ,C,=, ,C,1,), ,[,N,+,],(,[,O,-,],),=,O"
CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2,"C,C,O, ,P,(, ,=,S,), ,(, ,O,C,C,), ,O, ,C,1,=, ,C,C,2, ,=,C,(, ,C,=, ,C,1,), ,C,(,C,),=,C,(, ,C,l,), ,C,(,=,O,),O, ,2"
OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,"O,C, ,[,C,@,@,H,],(,N,C,(,=,O,), ,C,(,C,l,), ,C,l,), ,[,C,@,H,],(,O,), ,C,1,=, ,C,C, ,=,C,(, ,C,=, ,C,1,), ,[,N,+,],(,[,O,-,],),=,O"
[C-]#N,"[,C,-,], ,#,N"
ClC1CC2C(C1Cl)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,"C,l, ,C,1,C,C,2, ,C,(, ,C,1, ,C,l,), ,C,1,(, ,C,l,), ,C,(,C,l,), ,=,C,(, ,C,l,), ,C,2,(, ,C,l,), ,C,1,(, ,C,l,), ,C,l"
Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,"C,l, ,[,C,@,H,],1,[,C,@,H,],(, ,C,l,), ,[,C,@,@,H,],(, ,C,l,), ,[,C,@,@,H,],(, ,C,l,), ,[,C,@,H,],(, ,C,l,), ,[,C,@,H,],1, ,C,l"
NC(=O)NN=CC1=CC=C(O1)[N+]([O-])=O,"N,C,(,=,O,),N, ,N,=, ,C,C,1,=, ,C,C, ,=,C,(, ,O,1,), ,[,N,+,],(,[,O,-,],),=,O"
OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,"O,C,(,=,O,), ,C,N,(, ,C,C,N,(, ,C,C,(,O,),=,O,), ,C,C,(,O,),=,O,), ,C,C,(,O,), ,=,O"
CC(N)=O,"C,C,(,N,), ,=,O"
CNC(=O)CSP(=S)(OC)OC,"C,N,C,(,=,O,), ,C,S, ,P,(, ,=,S,), ,(, ,O,C,), ,O,C"
[H][C@]12O[C@@]1([H])[C@@]1([H])C[C@]2([H])[C@@]2([H])[C@]1([H])[C@@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl,"[,H,], ,[,C,@,],1,2, ,O, ,[,C,@,@,],1,(, ,[,H,], ,), ,[,C,@,@,],1,(, ,[,H,], ,), ,C, ,[,C,@,],2,(, ,[,H,], ,), ,[,C,@,@,],2,(, ,[,H,], ,), ,[,C,@,],1,(, ,[,H,], ,), ,[,C,@,@,],1,(, ,C,l,), ,C,(,C,l,), ,=,C,(, ,C,l,), ,[,C,@,],2,(, ,C,l,), ,C,1,(, ,C,l,), ,C,l"
[Cl-].CN(C)C1=CC2=[S+]C3=C(C=CC(=C3)N(C)C)N=C2C=C1,"[,C,l,-,], ,., ,C,N,(,C,), ,C,1,=, ,C,C,2, ,=, ,[,S,+,], ,C,3,=,C,(, ,C,=,C,C,(, ,=,C, ,3,), ,N,(,C,),C,), ,N,=,C,2, ,C,=,C,1"
NC1=NNC=N1,"N,C,1,=,N, ,N, ,C,=, ,N,1"
CC(=O)O[Hg]C1=CC=CC=C1,"C,C,(,=,O,),O, ,[,H,g,], ,C,1,=, ,C,C,=, ,C,C, ,=,C,1"
COP(=O)(OC)OC=C(Cl)Cl,"C,O, ,P,(,=,O,),(, ,O,C,), ,O,C, ,=,C,(, ,C,l,), ,C,l"
[Na+].[Na+].[O-]C(=O)C([O-])=O,"[,N,a,+,], ,., ,[,N,a,+,], ,., ,[,O,-,], ,C,(,=,O,),C,(, ,[,O,-,],), ,=,O"
CNC(=O)OC1=C2C=CC=CC2=CC=C1,"C,N, ,C,(,=,O,),O, ,C,1, ,=,C,2, ,C,=, ,C,C,=, ,C,C,2, ,=, ,C,C, ,=,C,1"
CNC(=O)OC1=CC=CC(=C1)C(C)C,"C,N, ,C,(,=,O,),O, ,C,1,=, ,C,C,=, ,C,C,(, ,=, ,C,1,), ,C,(,C,),C"
CCO,"C,C,O"
OC=O,"O,C, ,=,O"
CC(O)=O,"C,C,(,O,), ,=,O"
Cl.CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)[C@@]3(C)O,"C,l, ,., ,C,N,(,C,), ,[,C,@,H,],1, ,[,C,@,@,H,],2, ,C,[,C,@,H,],3, ,C,(, ,=,C,(,O,), ,[,C,@,],2,(,O,), ,C,(,=,O,),C,(, ,C,(,N,),=,O,), ,=,C,1, ,O,), ,C,(,=,O,), ,C,1,=,C,(, ,C,=, ,C,C, ,=,C,1, ,O,), ,[,C,@,@,],3,(,C,), ,O"
OC(=O)C1=CC=CC=C1,"O,C,(,=,O,), ,C,1,=, ,C,C,=, ,C,C, ,=,C,1"
CO,"C,O"
CC(C)O,"C,C,(,C,),O"
CC(C)=O,"C,C,(,C,), ,=,O"
OC(=O)CS,"O,C,(,=,O,), ,C,S"
Cl.Cl.CCN(CC)CCCC(C)NC1=C2C=C(OC)C=CC2=NC2=CC(Cl)=CC=C12,"C,l, ,., ,C,l, ,., ,C,C,N,(,C,C,), ,C,C,C,C,(,C,), ,N,C,1, ,=,C,2, ,C,=,C,(, ,O,C,), ,C,=, ,C,C,2, ,=,N, ,C,2,=, ,C,C,(, ,C,l,), ,=, ,C,C, ,=,C,1, ,2"
C1=CC=CC=C1,"C,1,=, ,C,C,=, ,C,C, ,=,C,1"
[H][C@]12O[C@@]1([H])[C@@]1([H])C[C@]2([H])[C@]2([H])[C@@]1([H])[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl,"[,H,], ,[,C,@,],1,2, ,O, ,[,C,@,@,],1,(, ,[,H,], ,), ,[,C,@,@,],1,(, ,[,H,], ,), ,C, ,[,C,@,],2,(, ,[,H,], ,), ,[,C,@,],2,(, ,[,H,], ,), ,[,C,@,@,],1,(, ,[,H,], ,), ,[,C,@,],1,(, ,C,l,), ,C,(,C,l,), ,=,C,(, ,C,l,), ,[,C,@,@,],2,(, ,C,l,), ,C,1,(, ,C,l,), ,C,l"
COC1=CC=C(C=C1)C(C1=CC=C(OC)C=C1)C(Cl)(Cl)Cl,"C,O, ,C,1,=, ,C,C, ,=,C,(, ,C,=, ,C,1,), ,C,(, ,C,1,=, ,C,C, ,=,C,(, ,O,C,), ,C,=, ,C,1,), ,C,(,C,l,),(,C,l,), ,C,l"
ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,"C,l, ,C,(,C,l,), ,C,(, ,C,1,=, ,C,C, ,=,C,(, ,C,l,), ,C,=, ,C,1,), ,C,1,=, ,C,C, ,=,C,(, ,C,l,), ,C,=,C,1"
CCC1=CC=C(C=C1)C(C(Cl)Cl)C1=CC=C(CC)C=C1,"C,C,C,1, ,=, ,C,C, ,=,C,(, ,C,=, ,C,1,), ,C,(,C,(, ,C,l,), ,C,l,), ,C,1,=, ,C,C, ,=,C,(, ,C,C,), ,C,=,C,1"
CC(C)OP(=S)(OC(C)C)OC1=CC=C(C=C1)[N+]([O-])=O,"C,C,(,C,),O, ,P,(, ,=,S,), ,(,O, ,C,(,C,),C,), ,O, ,C,1,=, ,C,C, ,=,C,(, ,C,=, ,C,1,), ,[,N,+,],(,[,O,-,],),=,O"
C#N,"C,#,N"
CC#N,"C,C,#, ,N"
CC=O,"C,C, ,=,O"
S=C=S,"S, ,=,C, ,=,S"
CC(Cl)(Cl)C(O)=O,"C,C,(, ,C,l,), ,(,C,l,), ,C,(,O,),=,O"
ClC(Cl)C(Cl)(Cl)Cl,"C,l, ,C,(,C,l,), ,C,(,C,l,),(,C,l,), ,C,l"
ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,"C,l, ,C,1, ,C,=, ,C,C,2, ,C,1, ,C,1,(, ,C,l,), ,C,(,C,l,), ,=,C,(, ,C,l,), ,C,2,(, ,C,l,), ,C,1,(, ,C,l,), ,C,l"
