"token","int"
"C",1
"[H]",2
"Cl",3
"OC(=O)",4
"O",5
"CCCC",6
"CCO",7
"OCC(",8
"CO",9
"CN1",10
"[Na+]",11
"CCN(CC)",12
"[O-]",13
"CC(O)",14
"C=",15
"CC(O)CO",16
"CCC1",17
"CC1",18
"O(",19
"CC1=C(",20
"NC(=O)N",21
"CCOCC",22
"CN",23
"CNC(=O)",24
"[Cl-]",25
"NC1=N",26
"CC(=O)O",27
"N",28
"CN(C)",29
"CN(C)C",30
"CC(C)=",31
"CCCO",32
"CCCCO",33
"C1=",34
"CC",35
"S",36
"C1CO",37
"CC(",38
"FC(F)(",39
"CC1(C)",40
"CCCCCCCC",41
"C1",42
"CCC(",43
"CC(C)",44
"CCC(C)",45
"NC(=O)",46
"CCC(O)",47
"C[C@H](O)",48
"CC(C)(",49
"CC(O)(",50
"CCC(C)(C)",51
"COC(=O)",52
"CC(=O)",53
"O=C(",54
"CC(C)(C)",55
"C1CC2",56
"CCOC(=O)",57
"[Br-]",58
"O=C1",59
"CC1=",60
"CC(O",61
"CCC(=O)",62
"O=",63
"OCC1",64
"CC(C)O",65
"Br",66
"OCCN(",67
"CC(=O)N",68
"OCC",69
"CCCN",70
"NCC",71
"OCCO",72
"CC(=O)OC",73
"CC(C)N",74
"CCCCN",75
"COCCO",76
"CCN",77
"CCCCCC",78
"C1CCCCC1",79
"OCCN",80
"OCCOCC",81
"CC[C@H]1",82
"OC(",83
"CCCCCCCCCCCC",84
"N(",85
"O=C1N",86
"CCC",87
"CCCCCCCCCC",88
"CNC",89
"CCCC(=O)",90
"[K+]",91
"O1",92
"CCN(CC)C(=O)",93
"[Cu++]",94
"CC(CO",95
"CCCCCCC",96
"N1",97
"NC(=O)N1",98
"F",99
"CC1=N",100
"C[C@H]1",101
"NC(=N)N",102
"CS",103
"CCS",104
"NC(=O)C",105
"CN(",106
"CCC(=O)N",107
"CCCN(CCC)",108
"NC",109
"[NH4+]",110
"[OH-]",111
"C1CN(",112
"NC(=S)",113
"COC(=O)N",114
"CCCS",115
"C1C",116
"[Li+]",117
"CCNS(=O)(=O)",118
"CC=",119
"CCCCN1",120
"CN(C(=O)",121
"[Al]",122
"[PbH2]",123
"[Mn]",124
"[Hg]",125
"[Tl]",126
"[As]",127
"[Ba]",128
"[Co]",129
"[Cu]",130
"I",131
"[F-]",132
"[S]",133
"OO",134
"[P]",135
"CCC12",136
"CCN1",137
"[Se]",138
"[O]",139
"FC(F)(F)",140
"C[C@@H](",141
"O[C@@H](",142
"CN(C",143
"CCCN(",144
"CCOC",145
"[Al+3]",146
"CCC(CC)",147
"CC1(",148
"O=C(N",149
"CCN(",150
"CCCCN(",151
"CCCC1",152
"CCCC(",153
"FC(",154
"CS(=O)(=O)",155
"CCS(=O)(=O)",156
"[Ca++]",157
"=O",158
"[C@@]12",159
"C1=C(",160
"C(N)=O",161
"Br)",162
"P(=O)(",163
